case_id,category,difficulty,question,golden_answer,must_hit_section_titles,answer_preview,citation_sections,manual_score,manual_notes
bertelli_outlook,outlook,medium,伯特利发展前景怎么样,,,"基于当前命中的资料，关于“伯特利发展发展前景情况如何”，可以先从最相关的 3 条依据来看。

依据要点：
- [1] 七、结论与展望：## 七、结论与展望 通过对伯特利智能驾驶业务布局、财务表现、股价走势及行业环境的全面分析，本研究得出以下主要结论： 关于智能驾驶业务发展： 伯特利已成功构建起 ""XYZ + 智驾辅助"" 的完整智能底盘产品体系，在国内线控制动市场以 19.3% 的市占率稳居国产第一。
- [2] 1.2 研究目的与分析范围：### 1.2 研究目的与分析范围 ",七、结论与展望 | 1.2 研究目的与分析范围 | 1.1 伯特利基本情况 | 4.1 股价历史走势回顾（2025 年至今）,,
bertelli_growth_opportunity,outlook,medium,伯特利未来增长机会有哪些,,,"基于当前命中的资料，关于“伯特利未来增长增长机会有哪些的具体情况是什么？”，可以先从最相关的 3 条依据来看。

依据要点：
- [1] 七、结论与展望：## 七、结论与展望 通过对伯特利智能驾驶业务布局、财务表现、股价走势及行业环境的全面分析，本研究得出以下主要结论： 关于智能驾驶业务发展： 伯特利已成功构建起 ""XYZ + 智驾辅助"" 的完整智能底盘产品体系，在国内线控制动市场以 19.3% 的市占率稳居国产第一。
- [2] 4.4 智能驾驶业务对股价的影响机制：###",七、结论与展望 | 4.4 智能驾驶业务对股价的影响机制 | 5.3 伯特利的竞争优势与挑战 | 2.1 智能驾驶业务技术路线,,
bertelli_mid_term_trend,outlook,hard,伯特利中期走势和业务支撑点是什么,,,"基于当前命中的资料，关于“伯特利中期发展走势和业务支撑点是什么”，可以先从最相关的 3 条依据来看。

依据要点：
- [1] 1.2 研究目的与分析范围：### 1.2 研究目的与分析范围 本研究旨在深入分析伯特利在智能驾驶业务领域的战略布局、技术实力、市场地位及发展前景，并结合这些业务情况，对公司股价在中期（2026 年 2 月至 2026 年 11 月）的走势进行全面剖析。 研究将重点关注智能驾驶业务对股价的影响机制，识别股价波动的主要驱动因素，并对未来股价变化趋势
-",1.2 研究目的与分析范围 | 七、结论与展望 | 4.2 中期技术形态分析（2026 年 2 月 - 11 月） | 4.4 智能驾驶业务对股价的影响机制,,
bertelli_smart_driving,smart_driving,medium,伯特利智能驾驶业务发展如何,,,"基于当前命中的资料，关于“伯特利智能驾驶业务发展如何”，可以先从最相关的 3 条依据来看。

依据要点：
- [1] 1.2 研究目的与分析范围：### 1.2 研究目的与分析范围 本研究旨在深入分析伯特利在智能驾驶业务领域的战略布局、技术实力、市场地位及发展前景，并结合这些业务情况，对公司股价在中期（2026 年 2 月至 2026 年 11 月）的走势进行全面剖析。 研究将重点关注智能驾驶业务对股价的影响机制，识别股价波动的主要驱动因素，并对未来股价变化趋势
- [2] ",1.2 研究目的与分析范围 | 七、结论与展望 | 4.4 智能驾驶业务对股价的影响机制 | 2.1 智能驾驶业务技术路线,,
bertelli_adas_rank,smart_driving,easy,它的ADAS业务地位怎么样,,,"基于当前命中的资料，关于“目标公司的ADAS业务地位情况如何”，可以先从最相关的 3 条依据来看。

依据要点：
- [1] 2.2 产品矩阵与市场表现：### 2.2 产品矩阵与市场表现 伯特利的智能驾驶产品矩阵日趋完善，主要包括以下几大产品线： \*\* 线控制动系统（WCBS）\*\* 是公司的核心产品。 根据最新数据，2025 年前三季度公司智能电控产品实现收入 40 亿元，同比增长 37.2%，占产品总收入的比重达到 49%。
- [2] 1.2 研究目的与分析范围",2.2 产品矩阵与市场表现 | 1.2 研究目的与分析范围 | 4.4 智能驾驶业务对股价的影响机制 | 1.1 伯特利基本情况,,
bertelli_brake_products,smart_driving,medium,伯特利在制动和智能驾驶产品上有哪些布局,,,"基于当前命中的资料，关于“伯特利在制动和智能驾驶产品上有哪些布局如何”，可以先从最相关的 3 条依据来看。

依据要点：
- [1] 2.1 智能驾驶业务技术路线：### 2.1 智能驾驶业务技术路线 伯特利在智能驾驶领域采用 ""XYZ + 智驾辅助"" 的技术路线，其中 X 代表制动系统、Y 代表转向系统、Z 代表悬架系统，形成了完整的智能底盘解决方案。 公司持续聚焦主业，以智能底盘全系解决方案为核心，集成电子机械制动 EMB、线控制动冗余系统 WCBS 2.0H、DP-EP",2.1 智能驾驶业务技术路线 | 1.1 伯特利基本情况 | 2.2 产品矩阵与市场表现 | 3.2 智能驾驶业务财务贡献,,
bertelli_market_share,smart_driving,medium,伯特利智能驾驶核心产品市占率情况如何,,,"基于当前命中的资料，关于“伯特利智能驾驶核心产品市占率情况如何”，可以先从最相关的 3 条依据来看。

依据要点：
- [1] 4.4 智能驾驶业务对股价的影响机制：### 4.4 智能驾驶业务对股价的影响机制 智能驾驶业务已成为影响伯特利股价的核心因素，其影响机制主要体现在以下几个方面： 业绩驱动机制： 智能驾驶业务通过影响公司营收和利润，直接作用于股价。 根据分析，智能电控产品占公司营收比重已接近 50%，且保持 30% 以上的高增长。
- [2] 2.2 产品矩阵与市场",4.4 智能驾驶业务对股价的影响机制 | 2.2 产品矩阵与市场表现 | 1.2 研究目的与分析范围 | 1.1 伯特利基本情况,,
bertelli_tech_route,smart_driving,hard,伯特利智能驾驶技术路线和量产节奏如何,,,"基于当前命中的资料，关于“伯特利智能驾驶技术路线和量产节奏如何”，可以先从最相关的 3 条依据来看。

依据要点：
- [1] 2.1 智能驾驶业务技术路线：### 2.1 智能驾驶业务技术路线 伯特利在智能驾驶领域采用 ""XYZ + 智驾辅助"" 的技术路线，其中 X 代表制动系统、Y 代表转向系统、Z 代表悬架系统，形成了完整的智能底盘解决方案。 公司持续聚焦主业，以智能底盘全系解决方案为核心，集成电子机械制动 EMB、线控制动冗余系统 WCBS 2.0H、DP-EPS
-",2.1 智能驾驶业务技术路线 | 1.2 研究目的与分析范围 | 5.3 伯特利的竞争优势与挑战 | 1.1 伯特利基本情况,,
bertelli_oversea,globalization,medium,伯特利海外市场拓展情况,伯特利的海外市场拓展主要体现在美国客户销售、墨西哥工厂对美国市场供货，以及摩洛哥生产基地覆盖欧洲市场。,2.4 主要客户群体与合作关系,"基于当前命中的资料，关于“伯特利海外市场拓展情况如何”，可以先从最相关的 3 条依据来看。

依据要点：
- [1] 七、结论与展望：## 七、结论与展望 通过对伯特利智能驾驶业务布局、财务表现、股价走势及行业环境的全面分析，本研究得出以下主要结论： 关于智能驾驶业务发展： 伯特利已成功构建起 ""XYZ + 智驾辅助"" 的完整智能底盘产品体系，在国内线控制动市场以 19.3% 的市占率稳居国产第一。 公司在 EMB 等前沿技术上储备充足，计划 202
- [2] 1.1 伯特",七、结论与展望 | 1.1 伯特利基本情况 | 5.3 伯特利的竞争优势与挑战 | 6.1 影响中期股价的关键因素,,
bertelli_us_business,globalization,easy,伯特利在美国市场的业务情况如何,伯特利面向美国市场的业务包括由中国工厂销售至美国客户的产品，以及由墨西哥工厂生产后销往美国市场的轻量化产品。,2.4 主要客户群体与合作关系,"基于当前命中的资料，关于“伯特利在美国市场的业务情况如何”，可以先从最相关的 3 条依据来看。

依据要点：
- [1] 1.2 研究目的与分析范围：### 1.2 研究目的与分析范围 本研究旨在深入分析伯特利在智能驾驶业务领域的战略布局、技术实力、市场地位及发展前景，并结合这些业务情况，对公司股价在中期（2026 年 2 月至 2026 年 11 月）的走势进行全面剖析。 研究将重点关注智能驾驶业务对股价的影响机制，识别股价波动的主要驱动因素，并对未来股价变化趋势
- [2",1.2 研究目的与分析范围 | 1.1 伯特利基本情况 | 4.4 智能驾驶业务对股价的影响机制 | 2.2 产品矩阵与市场表现,,
