case_id,category,difficulty,question,golden_answer,must_hit_section_titles,answer_preview,citation_sections,manual_score,manual_notes
bertelli_listing,bertelli,easy,伯特利什么时候上市,伯特利于 2018 年 4 月 27 日在上海证券交易所主板上市，股票代码为 603596。,1. 公司概况与上市,"基于当前命中的资料，关于“伯特利什么时候上市的具体情况是什么？ 上市时间 上海证券交易所 股票代码”，可以先从最相关的 3 条依据来看。

依据要点：
- [1] 1. 公司概况与上市：## 1. 公司概况与上市 芜湖伯特利汽车安全系统股份有限公司成立于 2004 年，长期聚焦汽车底盘控制、轻量化和智能驾驶执行层产品。 公司于 2018 年 4 月 27 日在上海证券交易所主板上市，股票代码为 603596。
- [2] 4. 样本用途：## 4. 样本用途 这份文档用于测试",1. 公司概况与上市 | 4. 样本用途 | 2. 智能底盘与线控制动 | 3. 客户结构与海外布局,,
bertelli_products,bertelli,medium,伯特利的核心产品有哪些,伯特利核心产品包括 EPB、ESC、WCBS、线控转向、EMB 以及轻量化底盘零部件。,2. 智能底盘与线控制动,"基于当前命中的资料，关于“伯特利的核心产品有哪些的具体情况是什么？”，可以先从最相关的 3 条依据来看。

依据要点：
- [1] 2. 智能底盘与线控制动：## 2. 智能底盘与线控制动 伯特利的核心产品包括 EPB、ESC、WCBS、线控转向、EMB 以及轻量化底盘零部件。
- [2] 1. 公司概况与上市：## 1. 公司概况与上市 芜湖伯特利汽车安全系统股份有限公司成立于 2004 年，长期聚焦汽车底盘控制、轻量化和智能驾驶执行层产品。
- [3] 4. 样本用途：#",2. 智能底盘与线控制动 | 1. 公司概况与上市 | 4. 样本用途 | 3. 客户结构与海外布局,,
bertelli_oversea,bertelli,medium,伯特利海外布局有什么特点,伯特利部分产品由中国和墨西哥工厂供应美国客户，并通过摩洛哥基地面向欧洲市场布局。,3. 客户结构与海外布局,"基于当前命中的资料，关于“伯特利海外布局有什么特点的具体情况是什么？ 美国市场 墨西哥工厂 摩洛哥基地 欧洲市场 客户合作”，相关信息主要集中在美国、墨西哥、摩洛哥、欧洲市场等海外布局。

依据要点：
- [1] 3. 客户结构与海外布局：## 3. 客户结构与海外布局 公司已经积累了数十家整车客户，自主品牌客户包括奇瑞、吉利、长安、比亚迪等，奇瑞是重要客户。 海外与国际客户覆盖通用、福特、沃尔沃等。
- [2] 4. 样本用途：## 4. 样本用途 这份文档用于测试“上市时",3. 客户结构与海外布局 | 4. 样本用途 | 1. 公司概况与上市 | 2. 智能底盘与线控制动,,
horizon_hsd,horizon,easy,HSD 是什么,HSD 是地平线面向量产的高阶智能驾驶方案，强调可快速集成和标准化交付。,2. HSD 方案定位,"基于当前命中的资料，关于“HSD 是什么”，可以先从最相关的 3 条依据来看。

依据要点：
- [1] 2. HSD 方案定位：## 2. HSD 方案定位 HSD 是地平线推出的高阶智能驾驶方案，可理解为面向量产的智能驾驶系统组合。 公开介绍强调它覆盖城市与高速等核心场景，目标是把智能驾驶能力做成车企可快速集成和量产交付的标准化方案。
- [2] 3. 硬件与生态基础：## 3. 硬件与生态基础 HSD 与征程系列计算平台配套，征程 6 被视为新一代量产硬件基础。 地平线",2. HSD 方案定位 | 3. 硬件与生态基础 | 4. 量产导向 | 1. 公司定位,,
horizon_chip,horizon,medium,HSD 与征程 6 的关系是什么,HSD 与征程系列计算平台配套，征程 6 被视为新一代量产硬件基础。,3. 硬件与生态基础,"基于当前命中的资料，关于“HSD 与征程 6 的关系是什么”，可以先从最相关的 3 条依据来看。

依据要点：
- [1] 3. 硬件与生态基础：## 3. 硬件与生态基础 HSD 与征程系列计算平台配套，征程 6 被视为新一代量产硬件基础。
- [2] 2. HSD 方案定位：## 2. HSD 方案定位 HSD 是地平线推出的高阶智能驾驶方案，可理解为面向量产的智能驾驶系统组合。 公开介绍强调它覆盖城市与高速等核心场景，目标是把智能驾驶能力做成车企可快速集成和量产交付的标",3. 硬件与生态基础 | 2. HSD 方案定位 | 4. 量产导向 | 1. 公司定位,,
horizon_ecosystem,horizon,medium,地平线为什么强调开放生态,地平线强调开放生态，是为了与主机厂和 Tier1 一起推进平台化量产落地，缩短车型上车周期。,1. 公司定位 | 3. 硬件与生态基础,"基于当前命中的资料，关于“地平线为什么强调开放生态的具体情况是什么？”，可以先从最相关的 3 条依据来看。

依据要点：
- [1] 3. 硬件与生态基础：## 3. 硬件与生态基础 HSD 与征程系列计算平台配套，征程 6 被视为新一代量产硬件基础。 地平线同时强调开放生态，与主机厂和 Tier1 一起推进平台化落地，从而缩短车型上车周期。
- [2] 1. 公司定位：## 1. 公司定位 地平线定位为智能驾驶计算方案提供商，长期围绕车载智能计算芯片、工具链、量产智驾方案和",3. 硬件与生态基础 | 1. 公司定位 | 2. HSD 方案定位 | 4. 量产导向,,
xpeng_positioning,xpeng,easy,XNGP 的定位是什么,XNGP 是小鹏对高阶智能驾驶能力的命名，公开表述强调“全国都好用”。,1. XNGP 的定位,"基于当前命中的资料，关于“XNGP 的定位是什么”，可以先从最相关的 3 条依据来看。

依据要点：
- [1] 1. XNGP 的定位：## 1. XNGP 的定位 XNGP 是小鹏汽车对高阶智能驾驶能力的命名，公开表述强调“全国都好用”。
- [2] 2. 核心能力：## 2. 核心能力 小鹏在公开材料中强调 XNGP 支持城市智驾、高速领航、记忆泊车和离车泊入等功能。 其重点不只是单点场景，而是城市通勤、跨城高速和停车衔接的连续体验。
- [3] 3. 技术路线：## ",1. XNGP 的定位 | 2. 核心能力 | 3. 技术路线,,
xpeng_scenarios,xpeng,medium,XNGP 覆盖哪些主要场景,XNGP 重点覆盖城市智驾、高速领航、记忆泊车和离车泊入等场景。,2. 核心能力,"基于当前命中的资料，关于“XNGP 覆盖哪些主要场景”，可以先从最相关的 3 条依据来看。

依据要点：
- [1] 1. XNGP 的定位：它面向城市、高速和停车等典型场景，目标是降低用户对城市开通范围和路线条件的感知门槛。
- [2] 2. 核心能力：其重点不只是单点场景，而是城市通勤、跨城高速和停车衔接的连续体验。
- [3] 4. 样本用途：## 4. 样本用途 这份文档适合测试“产品名称、场景覆盖、停车能力、技术路线”类问题。",1. XNGP 的定位 | 2. 核心能力 | 4. 样本用途 | 3. 技术路线,,
xpeng_tech,xpeng,medium,小鹏把哪些技术作为 XNGP 的基础,小鹏把端到端大模型、BEV 感知、多模态融合与数据闭环视作 XNGP 的重要技术基础。,3. 技术路线,"基于当前命中的资料，关于“小鹏把哪些技术作为 XNGP 的基础”，可以先从最相关的 3 条依据来看。

依据要点：
- [1] 3. 技术路线：## 3. 技术路线 小鹏把端到端大模型、BEV 感知、多模态融合与数据闭环视作重要技术基础。
- [2] 1. XNGP 的定位：## 1. XNGP 的定位 XNGP 是小鹏汽车对高阶智能驾驶能力的命名，公开表述强调“全国都好用”。
- [3] 2. 核心能力：## 2. 核心能力 小鹏在公开材料中强调 XNGP 支持城市智驾、高",3. 技术路线 | 1. XNGP 的定位 | 2. 核心能力,,
apollo_scope,apollo,easy,Apollo 的业务范围有哪些,Apollo 业务覆盖 Robotaxi、量产辅助驾驶、车路协同和自动驾驶云服务。,1. Apollo 的业务范围,"基于当前命中的资料，关于“Apollo 的业务范围有哪些”，可以先从最相关的 3 条依据来看。

依据要点：
- [1] 1. Apollo 的业务范围：## 1. Apollo 的业务范围 Apollo 是百度自动驾驶与智能驾驶开放平台，业务既覆盖 Robotaxi，也覆盖量产辅助驾驶、车路协同和自动驾驶云服务。
- [2] 3. 自动驾驶云：## 3. 自动驾驶云 Apollo 自动驾驶云主要服务于数据闭环、训练、仿真和工具化平台建设。 公开表述强调用云端能力连接数据采集",1. Apollo 的业务范围 | 3. 自动驾驶云 | 2. ANP 与量产方案 | 4. 样本用途,,
