case_id,category,difficulty,question,golden_answer,must_hit_section_titles,answer_preview,citation_sections,manual_score,manual_notes
mix_bertelli_listing,mixed_company,easy,伯特利是什么时候上市的,伯特利于2018年4月27日在上海证券交易所主板上市，股票代码603596。,1.1 伯特利基本情况,"基于当前命中的资料，关于“伯特利是什么时候上市的”，可以先从最相关的 3 条依据来看。

依据要点：
- [1] # 伯特利公司智能驾驶业务发展与股价中期走势分析 ## 一、公司概况与研究背景 ### 1.1 伯特利基本情况 芜湖伯特利汽车安全系统股份有限公司成立于 2004 年 6 月，是一家专注于汽车底盘系统及智能驾驶系统研发、制造与销售的高新技术企业(6)。 公司于 2018 年 4 月 27 日在上海证券交易所主板上市，股
- [2] \[50] 2025年伯特利研究", |  |  | 3.3 估值水平与同业对比,,
mix_bertelli_oversea,mixed_company,medium,伯特利海外市场拓展情况,伯特利的海外拓展体现在美国客户销售、墨西哥工厂对美国市场供货以及摩洛哥基地覆盖欧洲市场。,2.4 主要客户群体与合作关系,"基于当前命中的资料，关于“伯特利海外市场拓展情况如何”，相关信息主要集中在美国、墨西哥、摩洛哥、欧洲市场等海外布局。

依据要点：
- [1] 七、结论与展望：伯特利作为国产智能驾驶执行层龙头，在技术、市场、客户等方面具有明显优势，充分受益于智能驾驶行业爆发。 展望未来，伯特利面临重大发展机遇： 短期（2026 年）：L3 级自动驾驶商业化元年，政策红利释放，公司将迎来订单爆发期。
- [2] **关于股价走势**： 从技术分析看，伯特利股价目前处于 45-55 元区间的关键",七、结论与展望 |  |  | ,,
mix_horizon_positioning,mixed_horizon,easy,地平线的智能驾驶业务定位是什么,地平线聚焦智能驾驶与智能座舱计算平台，核心能力在车载AI芯片、算法和软硬结合解决方案。,一、公司定位,"基于当前命中的资料，关于“地平线的智能驾驶业务定位是什么”，可以先从最相关的 3 条依据来看。

依据要点：
- [1] 五、适合评测的问答点：## 五、适合评测的问答点 这份文档适合用来测试以下问题类型： - 地平线的智能驾驶业务定位是什么 - HSD 的核心特点是什么 - 地平线为什么强调软硬结合 - 地平线更偏算法公司还是量产平台公司 - 地平线的合作模式和量产导向体现在哪里
- [2] 二、业务重点：## 二、业务重点 地平线在智能驾驶业务上强调从计算平台到算法工具链",五、适合评测的问答点 | 二、业务重点 | 4.4 智能驾驶业务对股价的影响机制 | 一、公司定位,,
mix_horizon_hsd,mixed_horizon,medium,HSD 方案的核心特点是什么,HSD 的核心特点是软硬结合、强调工程化量产能力，并帮助车企缩短智能驾驶量产周期。,三、HSD 方案特点,"基于当前命中的资料，关于“HSD 方案的核心特点是什么”，可以先从最相关的 3 条依据来看。

依据要点：
- [1] 五、适合评测的问答点：## 五、适合评测的问答点 这份文档适合用来测试以下问题类型： - 地平线的智能驾驶业务定位是什么 - HSD 的核心特点是什么 - 地平线为什么强调软硬结合 - 地平线更偏算法公司还是量产平台公司 - 地平线的合作模式和量产导向体现在哪里
- [2] 三、HSD 方案特点：## 三、HSD 方案特点 HSD 可以理解为地平线面向量产智",五、适合评测的问答点 | 三、HSD 方案特点 | 五、适合评测的问答点 | 2.2 产品矩阵与市场表现,,
mix_horizon_cooperation,mixed_horizon,medium,地平线为什么强调软硬结合和量产合作,地平线强调软硬结合和量产合作，是因为其方案价值不仅在芯片性能，还在整套开发框架、量产交付效率和与车企联合推进。,四、合作与量产导向,"基于当前命中的资料，关于“地平线为什么强调软硬结合和量产合作”，可以先从最相关的 3 条依据来看。

依据要点：
- [1] 五、适合评测的问答点：## 五、适合评测的问答点 这份文档适合用来测试以下问题类型： - 地平线的智能驾驶业务定位是什么 - HSD 的核心特点是什么 - 地平线为什么强调软硬结合 - 地平线更偏算法公司还是量产平台公司 - 地平线的合作模式和量产导向体现在哪里
- [2] 三、HSD 方案特点：## 三、HSD 方案特点 HSD 可以理解为地平线面向",五、适合评测的问答点 | 三、HSD 方案特点 | 四、合作与量产导向 | 一、公司定位,,
mix_policy_departments,mixed_policy,easy,智能网联汽车准入和上路通行试点由哪些部门推进,智能网联汽车准入和上路通行试点由工业和信息化、公安交通管理以及交通运输等主管部门联合推进。,二、试点主管部门,"基于当前命中的资料，关于“智能网联汽车准入和上路通行试点由哪些部门推进”，可以先从最相关的 3 条依据来看。

依据要点：
- [1] 五、适合评测的问答点：## 五、适合评测的问答点 这份文档适合测试以下问题类型： - 智能网联汽车试点由哪些部门推进 - 试点主要关注哪些事项 - 准入和上路通行试点的核心目的是什么 - 为什么 L3 是政策和产业中的关键节点
- [2] 二、试点主管部门：## 二、试点主管部门 公开资料显示，智能网联汽车准入和上路通行试点由多个主管部门联合",五、适合评测的问答点 | 二、试点主管部门 | 1.3 智能驾驶行业发展背景 | 一、政策背景,,
mix_policy_focus,mixed_policy,medium,智能网联汽车准入试点主要关注哪些事项,试点主要关注产品准入、上路通行、试点主体与城市、安全管理、责任边界、数据记录和风险处置等事项。,三、试点关注重点,"基于当前命中的资料，关于“智能网联汽车准入试点主要关注哪些事项”，可以先从最相关的 3 条依据来看。

依据要点：
- [1] 五、适合评测的问答点：## 五、适合评测的问答点 这份文档适合测试以下问题类型： - 智能网联汽车试点由哪些部门推进 - 试点主要关注哪些事项 - 准入和上路通行试点的核心目的是什么 - 为什么 L3 是政策和产业中的关键节点
- [2] 二、试点主管部门：## 二、试点主管部门 公开资料显示，智能网联汽车准入和上路通行试点由多个主管部门联合推进，核",五、适合评测的问答点 | 二、试点主管部门 | 一、政策背景 | 1.3 智能驾驶行业发展背景,,
mix_policy_l3,mixed_policy,medium,为什么 L3 是智能网联汽车政策中的关键节点,L3 之所以是关键节点，是因为政策、准入和上路通行试点都把它与量产和商业化落地联系在一起。,四、L3 与试点语境,"基于当前命中的资料，关于“为什么 L3 是智能网联汽车政策中的关键节点”，可以先从最相关的 3 条依据来看。

依据要点：
- [1] 五、适合评测的问答点：## 五、适合评测的问答点 这份文档适合测试以下问题类型： - 智能网联汽车试点由哪些部门推进 - 试点主要关注哪些事项 - 准入和上路通行试点的核心目的是什么 - 为什么 L3 是政策和产业中的关键节点
- [2] 四、L3 与试点语境：## 四、L3 与试点语境 在智能驾驶政策语境里，L3 级自动驾驶是一个高频关键词",五、适合评测的问答点 | 四、L3 与试点语境 | 1.3 智能驾驶行业发展背景 | ,,
mix_cross_company_vs_policy,mixed_cross,hard,哪份材料更偏政策治理而不是企业经营,更偏政策治理的是《智能网联汽车准入与上路通行试点要点》，因为它主要讨论主管部门、准入、上路通行和安全管理。,一、政策背景,"基于当前命中的资料，关于“哪份材料更偏政策治理而不是企业经营”，可以先从最相关的 3 条依据来看。

依据要点：
- [1] 四、L3 与试点语境：## 四、L3 与试点语境 在智能驾驶政策语境里，L3 级自动驾驶是一个高频关键词。 政策文件和行业解读经常把 L3 量产、准入试点、上路通行联系在一起。
- [2] 二、试点主管部门：## 二、试点主管部门 公开资料显示，智能网联汽车准入和上路通行试点由多个主管部门联合推进，核心包括： - 工业和信息化主管部门 - 公安交通管理",四、L3 与试点语境 | 二、试点主管部门 |  | 4.4 智能驾驶业务对股价的影响机制,,
mix_cross_which_company,mixed_cross,hard,哪家公司更强调 HSD 和软硬结合量产,更强调 HSD 和软硬结合量产的是地平线相关材料，因为文档明确把 HSD、软硬结合和工程化量产能力作为核心特征。,三、HSD 方案特点,"基于当前命中的资料，关于“哪家公司更强调 HSD 和软硬结合量产”，可以先从最相关的 3 条依据来看。

依据要点：
- [1] 三、HSD 方案特点：## 三、HSD 方案特点 HSD 可以理解为地平线面向量产智能驾驶场景推出的软硬结合方案。 资料显示，HSD 的价值主要体现在： - 强调软硬结合，而不是单点硬件堆料 - 强调工程化量产能力 - 面向车企量产项目落地，而不是仅做实验性展示 - 目标是缩短智能驾驶量产周期，提升交付确定性
- [2] 一、公司定位：## 一、公",三、HSD 方案特点 | 一、公司定位 | 五、适合评测的问答点 | 四、合作与量产导向,,
