case_id,category,difficulty,question,golden_answer,must_hit_section_titles,answer_preview,citation_sections,manual_score,manual_notes
bertelli_oversea,bertelli,medium,伯特利海外布局有什么特点,伯特利部分产品由中国和墨西哥工厂供应美国客户，并通过摩洛哥基地面向欧洲市场布局。,3. 客户结构与海外布局,"根据现有资料，伯特利海外布局的特点是基于区域市场就近供应，具体通过墨西哥工厂服务北美，通过摩洛哥基地辐射欧洲。

**依据要点：**
1.  **美国市场的供应**：部分产品通过**中国工厂和墨西哥工厂**供应美国客户 [1]。
2.  **墨西哥工厂的角色**：资料明确指出墨西哥工厂是供应美国客户的基地之一 [1]。
3.  **摩洛哥基地的定位**：**摩洛哥基地**是面向欧洲市场的重要布局 [1]。
4.  **欧洲市场的进入**：通过建设摩洛哥基地来布局欧洲市场 [1",3. 客户结构与海外布局 | 4. 样本用途 | 1. 公司概况与上市 | 2. 智能底盘与线控制动,,
horizon_chip,horizon,medium,HSD 与征程 6 的关系是什么,HSD 与征程系列计算平台配套，征程 6 被视为新一代量产硬件基础。,3. 硬件与生态基础,"HSD 是地平线推出的高阶智能驾驶方案，它与征程系列计算平台配套，其中征程 6 被视为新一代的量产硬件基础 [1]。

**依据要点**  
1. **HSD 方案定位**：HSD 是地平线面向量产的高阶智能驾驶方案，覆盖城市与高速等核心场景，旨在成为车企可快速集成和量产交付的标准化系统组合 [2]。  
2. **配套关系**：HSD 与征程系列计算平台配套，征程 6 被明确作为新一代量产硬件基础 [1]。  
3. **生态背景**：地平线强调开放生态，与主机厂和 Tie",3. 硬件与生态基础 | 2. HSD 方案定位 | 4. 量产导向 | 1. 公司定位,,
xpeng_tech,xpeng,medium,小鹏把哪些技术作为 XNGP 的基础,小鹏把端到端大模型、BEV 感知、多模态融合与数据闭环视作 XNGP 的重要技术基础。,3. 技术路线,"小鹏将端到端大模型、BEV 感知、多模态融合和数据闭环作为 XNGP 的基础技术 [1]。

**依据要点**  
- 根据技术路线部分的说明，小鹏明确把端到端大模型、BEV 感知、多模态融合与数据闭环视作 XNGP 的重要技术基础 [1]。",3. 技术路线 | 1. XNGP 的定位 | 2. 核心能力,,
apollo_cloud,apollo,medium,Apollo 自动驾驶云主要做什么,Apollo 自动驾驶云主要服务于数据闭环、训练、仿真验证和量产部署。,3. 自动驾驶云,"Apollo 自动驾驶云是一个云端平台，主要服务于自动驾驶的数据闭环、模型训练、仿真验证和工具化平台建设，通过连接数据采集、训练、验证到量产部署的全流程，支撑自动驾驶系统的规模化迭代。

**依据要点**  
- Apollo 自动驾驶云主要服务于数据闭环、训练、仿真和工具化平台建设 [1]。  
- 它利用云端能力连接数据采集、模型训练、仿真验证和量产部署环节 [1]。  
- 其设计目标是支撑自动驾驶的规模化迭代 [1]。",3. 自动驾驶云 | 1. Apollo 的业务范围 | 2. ANP 与量产方案 | 4. 样本用途,,
weride_products,weride,easy,文远知行有哪些主要产品方向,文远知行的五大产品方向包括 Robotaxi、Robobus、Robosweeper、Robovan 和高级辅助驾驶解决方案。,2. 五大产品矩阵,"文远知行的主要产品方向包括Robotaxi、Robobus、Robosweeper、Robovan以及面向量产车的高级辅助驾驶解决方案 [1]。

**依据要点**  
- 公开材料显示，文远知行常提及五大产品矩阵：Robotaxi、Robobus、Robosweeper、Robovan 以及面向量产车的高级辅助驾驶解决方案，覆盖出行、城市场景和前装量产 [1]。",2. 五大产品矩阵 | 1. 公司定位 | 3. 商业化与区域覆盖 | 4. 样本用途,,
pony_global,pony,medium,为什么说小马智行具有全球化属性,小马智行强调其业务覆盖多个国家和地区，并以多地牌照、跨区域研发和国际合作伙伴体现全球化属性。,3. 全球布局,"**简洁回答**  
小马智行具有全球化属性，主要体现在其全球布局和公司定位上 [1][2]。但关于用户具体提到的美国市场、墨西哥工厂、摩洛哥基地、欧洲市场和客户合作，知识库暂无足够依据。

**依据要点**  
1. **全球化业务覆盖**：小马智行强调其业务具有全球化属性，测试、运营或合作范围覆盖多个国家和地区，并与“多地牌照、跨区域研发、国际合作伙伴”相关联 [1]。  
2. **全球化公司定位**：小马智行定位为全球化自动驾驶公司，公开介绍长期围绕自动驾驶技术平台、",3. 全球布局 | 1. 公司定位 | 2. 三大业务方向 | 4. 样本用途,,
nio_stack,nio,medium,蔚来为什么强调软硬件协同,蔚来把感知硬件、计算平台、算法软件和数据闭环作为同一体系，用软硬件协同决定功能上限。,3. 硬件与软件协同,"知识库暂无足够依据说明蔚来强调“软硬件协同”的具体举措或实例。现有资料仅提及了其协同的体系构成和目标。

**依据要点：**
1.  蔚来将“硬件、软件与数据”视为一个整体体系，其中硬件是基础，软件和数据的迭代决定功能上限 [1]。
2.  蔚来高阶智能驾驶体系NAD强调“全栈自研”以及“从感知到规划控制的协同” [3]。",3. 硬件与软件协同 | 4. 样本用途 | 1. NAD 的定位 | 2. NOP+ 与场景能力,,
byd_vehicle_intelligence,byd,medium,比亚迪整车智能路线强调什么,比亚迪整车智能路线强调电子电气架构、平台化能力和软硬件协同。,2. 整车智能路线,"比亚迪整车智能路线强调整车智能、电子电气架构和软硬件协同，并更关注平台化能力、系统整合和大规模车型覆盖。[1]

**依据要点**  
1. 比亚迪公开表述其整车智能路线时，核心是强调整车智能、电子电气架构和软硬件协同。[1]  
2. 相比只关注辅助驾驶的单一功能点，该路线更侧重平台化能力、系统整合以及大规模车型覆盖。[1]  
3. 比亚迪的智能驾驶品牌“天神之眼”通常与整车智能一同出现，其定位不是孤立功能，而是整车感知、决策、执行协同的一部分，体现了协同整合的理念。[2",2. 整车智能路线 | 1. 天神之眼的定位 | 3. 能力与场景,,
policy_focus,policy_access,medium,准入试点主要关注哪些事项,准入试点主要关注准入条件、运行安全、责任划分以及跨部门协同监管等事项。,3. 试点关注重点,"根据现有资料，智能网联汽车准入试点主要关注在真实交通环境中，对车辆准入、运行安全、责任划分等关键环节进行验证。具体如下：

**简洁回答**：  
试点主要关注车辆的准入条件、实际运行安全、驾驶员或安全员职责、事故责任界定、道路测试与示范应用的衔接，以及跨部门的协同监管机制。其核心是在真实场景中验证L3/L4级车辆的产品安全性和管理有效性，而非简单允许上路 [1][2]。

**依据要点**：
1.  **核心关注事项**：试点明确关注准入条件、运行安全、驾驶员或安全员职责、",3. 试点关注重点 | 2. 试点目标 | 4. 样本用途 | 2. 应用试点目标,,
v2x_nanjing,v2x,medium,南京在车路云一体化试点中强调什么,南京强调通过试点建设道路侧感知设施、平台能力和示范场景，支撑智能网联汽车规模化应用。,3. 城市推进与南京实践,"南京在车路云一体化试点中强调通过建设道路侧感知设施、平台能力和示范场景，以支撑智能网联汽车规模化应用 [2]。

**依据要点：**  
- 公开信息显示，南京等城市在车路云一体化试点中强调建设道路侧感知设施、平台能力和示范场景 [2]。  
- 这些建设旨在支撑智能网联汽车规模化应用 [2]。",1. 车路云一体化的定位 | 3. 城市推进与南京实践 | 4. 样本用途 | 2. 应用试点目标,,
