case_id,category,difficulty,question,golden_answer,must_hit_section_titles,answer_preview,citation_sections,manual_score,manual_notes
bertelli_oversea,bertelli,medium,伯特利海外布局有什么特点,伯特利部分产品由中国和墨西哥工厂供应美国客户，并通过摩洛哥基地面向欧洲市场布局。,3. 客户结构与海外布局,海外布局特点：部分产品由中国工厂和墨西哥工厂供应美国客户，摩洛哥基地面向欧洲市场布局 [1]。海外与国际客户覆盖通用、福特、沃尔沃等 [1]。,3. 客户结构与海外布局 | 4. 样本用途 | 1. 公司概况与上市 | 2. 智能底盘与线控制动,,
horizon_chip,horizon,medium,HSD 与征程 6 的关系是什么,HSD 与征程系列计算平台配套，征程 6 被视为新一代量产硬件基础。,3. 硬件与生态基础,HSD与征程系列计算平台配套，征程6被视为新一代量产硬件基础 [1]。HSD是地平线推出的高阶智能驾驶方案，可理解为面向量产的智能驾驶系统组合 [2]。,3. 硬件与生态基础 | 2. HSD 方案定位 | 4. 量产导向 | 1. 公司定位,,
xpeng_tech,xpeng,medium,小鹏把哪些技术作为 XNGP 的基础,小鹏把端到端大模型、BEV 感知、多模态融合与数据闭环视作 XNGP 的重要技术基础。,3. 技术路线,小鹏将端到端大模型、BEV 感知、多模态融合与数据闭环视作 XNGP 的重要技术基础 [1]。,3. 技术路线 | 1. XNGP 的定位 | 2. 核心能力,,
apollo_cloud,apollo,medium,Apollo 自动驾驶云主要做什么,Apollo 自动驾驶云主要服务于数据闭环、训练、仿真验证和量产部署。,3. 自动驾驶云,Apollo 自动驾驶云主要服务于数据闭环、训练、仿真和工具化平台建设 [1]。它是百度自动驾驶与智能驾驶开放平台的一部分 [2]。,3. 自动驾驶云 | 1. Apollo 的业务范围 | 2. ANP 与量产方案 | 4. 样本用途,,
weride_products,weride,easy,文远知行有哪些主要产品方向,文远知行的五大产品方向包括 Robotaxi、Robobus、Robosweeper、Robovan 和高级辅助驾驶解决方案。,2. 五大产品矩阵,主要产品方向包括：Robotaxi、Robobus、Robosweeper、Robovan 以及面向量产车的高级辅助驾驶解决方案 [1]。公司定位覆盖从 L2 到 L4 的产品与技术 [2]。,2. 五大产品矩阵 | 1. 公司定位 | 3. 商业化与区域覆盖 | 4. 样本用途,,
pony_global,pony,medium,为什么说小马智行具有全球化属性,小马智行强调其业务覆盖多个国家和地区，并以多地牌照、跨区域研发和国际合作伙伴体现全球化属性。,3. 全球布局,其全球化属性体现在测试、运营或合作范围覆盖多个国家和地区，并拥有多地牌照、跨区域研发、国际合作伙伴 [1]。公司定位为全球化自动驾驶公司 [2]。,3. 全球布局 | 1. 公司定位 | 2. 三大业务方向 | 4. 样本用途,,
nio_stack,nio,medium,蔚来为什么强调软硬件协同,蔚来把感知硬件、计算平台、算法软件和数据闭环作为同一体系，用软硬件协同决定功能上限。,3. 硬件与软件协同,蔚来强调软硬件协同，具体体现在其公开材料经常把感知硬件、计算平台、算法软件和数据闭环放在一起描述 [1]。硬件是基础，数据和软件迭代决定功能上限 [1]。其高阶智能驾驶体系NAD也强调“全栈自研、感知到规划控制协同”的路线 [3]。,3. 硬件与软件协同 | 4. 样本用途 | 1. NAD 的定位 | 2. NOP+ 与场景能力,,
byd_vehicle_intelligence,byd,medium,比亚迪整车智能路线强调什么,比亚迪整车智能路线强调电子电气架构、平台化能力和软硬件协同。,2. 整车智能路线,比亚迪整车智能路线强调整车智能、电子电气架构和软硬件协同 [1]。其更关注平台化能力、系统整合和大规模车型覆盖 [1]，并体现“从单车功能到整车智能系统”的升级思路 [3]。,2. 整车智能路线 | 1. 天神之眼的定位 | 3. 能力与场景,,
policy_focus,policy_access,medium,准入试点主要关注哪些事项,准入试点主要关注准入条件、运行安全、责任划分以及跨部门协同监管等事项。,3. 试点关注重点,试点关注重点包括准入条件、运行安全、驾驶员或安全员职责、事故责任、道路测试与示范应用衔接，以及跨部门协同监管 [1]。核心是在真实交通环境中验证产品安全性、运行安全保障、责任划分和管理机制 [2]。应用试点还关注完善路侧基础设施、建设云控平台、推进示范场景落地，并验证车端与路端协同，也关注城市级系统能力 [4]。,3. 试点关注重点 | 2. 试点目标 | 4. 样本用途 | 2. 应用试点目标,,
v2x_nanjing,v2x,medium,南京在车路云一体化试点中强调什么,南京强调通过试点建设道路侧感知设施、平台能力和示范场景，支撑智能网联汽车规模化应用。,3. 城市推进与南京实践,南京强调通过试点建设道路侧感知设施、平台能力和示范场景 [2]，以支撑智能网联汽车规模化应用 [2]。这体现了车路云一体化强调的基础设施、通信网络、云控平台和示范应用协同建设 [1]。,1. 车路云一体化的定位 | 3. 城市推进与南京实践 | 4. 样本用途 | 2. 应用试点目标,,
mix_horizon_j6,mixed,hard,哪套量产智驾方案和征程 6 平台配套,与征程 6 平台配套的量产智驾方案是地平线 HSD。,3. 硬件与生态基础,HSD 与征程系列计算平台配套，征程 6 被视为新一代量产硬件基础 [1]。地平线长期围绕车载智能计算芯片、工具链、量产智驾方案和生态合作展开布局 [3]。,3. 硬件与生态基础 | 2. ANP 与量产方案 | 1. 公司定位 | 2. HSD 方案定位,,
