case_id,category,difficulty,question,golden_answer,must_hit_section_titles,answer_preview,citation_sections,manual_score,manual_notes
bertelli_oversea,bertelli,medium,伯特利海外布局有什么特点,伯特利部分产品由中国和墨西哥工厂供应美国客户，并通过摩洛哥基地面向欧洲市场布局。,3. 客户结构与海外布局,海外布局特点包括由中国和墨西哥工厂供应美国客户，并设立摩洛哥基地面向欧洲市场 [1]。,3. 客户结构与海外布局 | 4. 样本用途 | 1. 公司概况与上市 | 2. 智能底盘与线控制动,,
horizon_chip,horizon,medium,HSD 与征程 6 的关系是什么,HSD 与征程系列计算平台配套，征程 6 被视为新一代量产硬件基础。,3. 硬件与生态基础,HSD 与征程系列计算平台配套，征程 6 被视为新一代量产硬件基础 [1]。,3. 硬件与生态基础 | 2. HSD 方案定位 | 4. 量产导向 | 1. 公司定位,,
xpeng_tech,xpeng,medium,小鹏把哪些技术作为 XNGP 的基础,小鹏把端到端大模型、BEV 感知、多模态融合与数据闭环视作 XNGP 的重要技术基础。,3. 技术路线,小鹏将端到端大模型、BEV 感知、多模态融合与数据闭环作为 XNGP 的重要技术基础 [1]。,3. 技术路线 | 1. XNGP 的定位 | 2. 核心能力,,
apollo_cloud,apollo,medium,Apollo 自动驾驶云主要做什么,Apollo 自动驾驶云主要服务于数据闭环、训练、仿真验证和量产部署。,3. 自动驾驶云,Apollo 自动驾驶云主要服务于数据闭环、训练、仿真和工具化平台建设 [1]。,3. 自动驾驶云 | 1. Apollo 的业务范围 | 4. 样本用途 | 2. ANP 与量产方案,,
weride_products,weride,easy,文远知行有哪些主要产品方向,文远知行的五大产品方向包括 Robotaxi、Robobus、Robosweeper、Robovan 和高级辅助驾驶解决方案。,2. 五大产品矩阵,文远知行的主要产品方向包括Robotaxi、Robobus、Robosweeper、Robovan以及面向量产车的高级辅助驾驶解决方案 [1]。,2. 五大产品矩阵 | 1. 公司定位 | 3. 商业化与区域覆盖 | 4. 样本用途,,
pony_global,pony,medium,为什么说小马智行具有全球化属性,小马智行强调其业务覆盖多个国家和地区，并以多地牌照、跨区域研发和国际合作伙伴体现全球化属性。,3. 全球布局,小马智行业务覆盖多个国家和地区，拥有多地牌照、跨区域研发和国际合作伙伴 [1]。,3. 全球布局 | 1. 公司定位 | 2. 三大业务方向 | 4. 样本用途,,
nio_stack,nio,medium,蔚来为什么强调软硬件协同,蔚来把感知硬件、计算平台、算法软件和数据闭环作为同一体系，用软硬件协同决定功能上限。,3. 硬件与软件协同,蔚来强调软硬件协同是因为其高阶智能驾驶体系将感知硬件、计算平台、算法软件和数据闭环视为一个整体，其中硬件是基础，数据和软件迭代决定功能上限 [1]。,3. 硬件与软件协同 | 4. 样本用途 | 1. NAD 的定位 | 2. NOP+ 与场景能力,,
byd_vehicle_intelligence,byd,medium,比亚迪整车智能路线强调什么,比亚迪整车智能路线强调电子电气架构、平台化能力和软硬件协同。,2. 整车智能路线,比亚迪整车智能路线强调整车智能、电子电气架构和软硬件协同 [1]，更关注平台化能力、系统整合和大规模车型覆盖 [1]。,2. 整车智能路线 | 1. 天神之眼的定位 | 3. 能力与场景,,
policy_focus,policy_access,medium,准入试点主要关注哪些事项,准入试点主要关注准入条件、运行安全、责任划分以及跨部门协同监管等事项。,3. 试点关注重点,准入试点最关注的事项包括准入条件、运行安全、驾驶员或安全员职责、事故责任、道路测试与示范应用衔接，以及跨部门协同监管 [1]。,3. 试点关注重点 | 2. 试点目标 | 4. 样本用途 | 1. 政策背景,,
v2x_nanjing,v2x,medium,南京在车路云一体化试点中强调什么,南京强调通过试点建设道路侧感知设施、平台能力和示范场景，支撑智能网联汽车规模化应用。,3. 城市推进与南京实践,南京在车路云一体化试点中强调建设道路侧感知设施、平台能力和示范场景，以支撑智能网联汽车规模化应用 [2]。,1. 车路云一体化的定位 | 3. 城市推进与南京实践 | 4. 样本用途 | 2. 应用试点目标,,
